Headline,Date&Time,story,url
Deadly landslide in Japan leaves at least 02 dead  20 missing,July 4 2021��2:15 pm,Rescue workers continued on Sunday to search for 20 people who remain missing following a large mudslide triggered by torrential rain in a hot spring resort town southwest of Tokyo  Japan that left two others dead and affected some 130 houses.,http://www.adaderana.lk/news/75140/deadly-landslide-in-japan-leaves-at-least-02-dead-20-missing,
Advisory issued for gusty winds & heavy rain above 100mm,July 4 2021��1:49 pm,The Department of Meteorology has issued an advisory for torrential rains and gusty winds in the south-western parts of the country.,http://www.adaderana.lk/news/75139/advisory-issued-for-gusty-winds-heavy-rain-above-100mm,
Emirates suspends passengers from Sri Lanka to Dubai,July 4 2021��12:01 pm,The Emirates has decided to suspend the carriage of passengers from Sri Lanka  Bangladesh and Pakistan until the 15th of July  in line with the directives from the government of United Arab Emirates (UAE).,http://www.adaderana.lk/news/75138/emirates-suspends-passengers-from-sri-lanka-to-dubai,
At least 40 rescued after military plane crashes in Philippines,July 4 2021��11:42 am,A Philippine air force C-130 aircraft carrying troops crashed in a southern province Sunday after missing the runway and at least 40 people on board were rescued from the burning wreckage  the military chief said.,http://www.adaderana.lk/news/75136/at-least-40-rescued-after-military-plane-crashes-in-philippines,
CID arrests two including website owner linked to sex-trafficking ring,July 4 2021��10:02 am,The cybercrimes unit of the Criminal Investigation Department (CID) has arrested the owner of the website in which an advertisement was published for the procuration and sexual exploitation of a 15-year-old girl.,http://www.adaderana.lk/news/75134/cid-arrests-two-including-website-owner-linked-to-sex-trafficking-ring,
Spells of showers likely in Western  Sabaragamuwa provinces,July 4 2021��8:09 am,Several spells of showers will occur in Western and Sabaragamuwa provinces and in Galle  Matara  Kandy and Nuwara-Eliya districts  the Department of Meteorology says.,http://www.adaderana.lk/news/75133/spells-of-showers-likely-in-western-sabaragamuwa-provinces,
Sri Lanka receives another batch of 1 million Sinopharm jabs,July 4 2021��7:55 am,Another consignment of Sinopharm COVID-19 vaccines arrived in Sri Lanka today (July 04)  says State Minister of Production  Supply and Regulation of Pharmaceuticals Prof. Channa Jayasumana.,http://www.adaderana.lk/news/75132/sri-lanka-receives-another-batch-of-1-million-sinopharm-jabs,
Another area isolated  five GN divisions released from isolation status,July 4 2021��7:11 am,The National Operation Centre for Prevention of COVID-19 Outbreak (NOCPCO) has issued an updated announcement on isolation orders.,http://www.adaderana.lk/news/75130/another-area-isolated-five-gn-divisions-released-from-isolation-status,
Future Policy Award 2021: Sri Lanka wins special accolade for pesticide control  suicide prevention,July 3 2021��11:59 pm,Sri Lanka has been awarded a special accolade at Future Policy Award 2021  in recognition of the policies and laws adopted to regulate highly hazardous pesticides (HHPs) and to reduce the suicide rate in the country.,http://www.adaderana.lk/news/75129/future-policy-award-2021-sri-lanka-wins-special-accolade-for-pesticide-control-suicide-prevention,
Daily COVID cases count drops to 1 251 on Saturday,July 3 2021��9:46 pm,The Health Ministry says 241 more people have tested positive for COVID-19 today (July 03) as the daily count of positive cases dropped to 1 251.,http://www.adaderana.lk/news/75128/daily-covid-cases-count-drops-to-1251-on-saturday,
More than 400 apprehended within 3 months over illegal fishing practices,July 3 2021��8:53 pm,Sri Lanka Navy  within a period of three months from April to June  has apprehended a total of 422 individuals who were engaged in illegal fishing practices.,http://www.adaderana.lk/news/75126/more-than-400-apprehended-within-3-months-over-illegal-fishing-practices,
COVID caseload moves up as 1 010 more test positive,July 3 2021��6:57 pm,The Ministry of Health reports that another 1 010 persons have tested positive for coronavirus today (July 03).,http://www.adaderana.lk/news/75123/covid-caseload-moves-up-as-1010-more-test-positive,
Sri Lanka reports 34 more fatalities from coronavirus,July 3 2021��6:07 pm,The Director-General of Health Services has confirmed 34 more COVID-19 related fatalities that have occurred yesterday (July 02).,http://www.adaderana.lk/news/75121/sri-lanka-reports-34-more-fatalities-from-coronavirus,
14 new COVID-19 cases of Delta variant detected in Sri Lanka - Dr. Hemantha Herath,July 3 2021��5:31 pm,Sri Lanka has reported 14 new coronavirus infections of the Delta variant  Deputy Director of Health Services Dr. Hemantha Herath said.,http://www.adaderana.lk/news/75119/14-new-covid-19-cases-of-delta-variant-detected-in-sri-lanka-dr-hemantha-herath,
1 853 more patients recover from coronavirus,July 3 2021��4:57 pm,The Ministry of Health says that another 1 853 patients who were being treated for COVID-19 have been discharged after completing their recovery.,http://www.adaderana.lk/news/75117/1853-more-patients-recover-from-coronavirus,
Unvaccinated or half-vaccinated persons more likely to contract Delta variant,July 3 2021��3:05 pm,People who have either not received the COVID-19 vaccine or have just received one dose are more likely to contract the Delta variant of the virus  Dr. Chandima Jeewandara says.,http://www.adaderana.lk/news/75115/unvaccinated-or-half-vaccinated-persons-more-likely-to-contract-delta-variant,
Twenty-six arrested over selling 15-year-old girl for prostitution,July 3 2021��2:00 pm,A total of 26 individuals have been arrested so far over the incident of a 15-year-old girl being sold online for prostitution  Police Media Spokesperson DIG Ajith Rohana said.,http://www.adaderana.lk/news/75114/twenty-six-arrested-over-selling-15-year-old-girl-for-prostitution,
Several health unions launch trade union action,July 3 2021��12:56 pm,The Complementary Medical Services Union says that it has launched a trade union action by withdrawing from services since this morning (July 03).,http://www.adaderana.lk/news/75113/several-health-unions-launch-trade-union-action,
Man shot dead in Urugasmanhandiya,July 3 2021��11:42 am,An individual has been shot dead in front of their own residence at around 10.15 pm last night (July 02).,http://www.adaderana.lk/news/75112/man-shot-dead-in-urugasmanhandiya,
Several top cops transferred,July 3 2021��9:12 am,Seven Senior Deputy Inspectors General of Police and a Deputy Inspector General (DIG) have been assigned with transfers with immediate effect.,http://www.adaderana.lk/news/75111/several-top-cops-transferred,
More areas in three districts isolated,July 3 2021��8:36 am,Several more areas in Mullaitivu  Kegalle  and Ampara Districts have been isolated in an attempt to curb the spread of coronavirus in the relevant areas.,http://www.adaderana.lk/news/75110/more-areas-in-three-districts-isolated,
Bereaved family of Sri Lankan woman who died in detention in Japan meets prosecutors,July 2 2021��11:52 pm,The sisters of a Sri Lankan woman who died in March at age 33 while under detention at the Nagoya Regional Immigration Services Bureau in Japan met with the prosecutor in charge of her case on July 2 and requested a swift investigation.,http://www.adaderana.lk/news/75109/bereaved-family-of-sri-lankan-woman-who-died-in-detention-in-japan-meets-prosecutors,
Sri Lanka confirms another 37 Covid-19 deaths,July 2 2021��6:53 pm,The Director General of Health Services has confirmed another 37 coronavirus related deaths for July 01  increasing the death toll due to the virus in Sri Lanka to 3 157.,http://www.adaderana.lk/news/75101/sri-lanka-confirms-another-37-covid-19-deaths,
COVID figures move up as 1 102 more test positive,July 2 2021��6:43 pm,The Ministry of Health says 1 102 more persons were tested positive for the novel coronavirus today (July 02).,http://www.adaderana.lk/news/75100/covid-figures-move-up-as-1102-more-test-positive,
Over 1 700 coronavirus recoveries reported today,July 2 2021��5:21 pm,The Ministry of Health reported that another 1 701 patients who had been infected with Covid-19 have been discharged after completing recovery. ,http://www.adaderana.lk/news/75097/over-1700-coronavirus-recoveries-reported-today,
Education Min. mulls reopening schools with less than 100 students in July,July 2 2021��5:16 pm,The Ministry of Education is mulling the reopening of schools with less than 100 students in July  in conformity with recommendations of the health officials  says Prof. G.L. Peiris.,http://www.adaderana.lk/news/75096/education-min-mulls-reopening-schools-with-less-than-100-students-in-july,
Officials directed to vaccinate all aged over 30 in Western Province before July 31,July 2 2021��3:51 pm,President Gotabaya Rajapaksa has instructed the health sector official to vaccinate all the people aged over 30 in the Western Province before July 31st.,http://www.adaderana.lk/news/75095/officials-directed-to-vaccinate-all-aged-over-30-in-western-province-before-july-31,
Three luxury buses caught crossing provincial borders; 03 passengers test Covid-19 positive,July 2 2021��3:25 pm,Police have intercepted three luxury buses traveling from Colombo to Batticaloa in violation of the inter-provincial travel restrictions currently in effect.,http://www.adaderana.lk/news/75094/three-luxury-buses-caught-crossing-provincial-borders-03-passengers-test-covid-19-positive,
Sri Lanka informs EU of ongoing action to review PTA,July 2 2021��3:18 pm,The Sri Lankan government has apprised the European Union (EU) of the progress in specific areas of reconciliation  as part of its regular engagement and dialogue with the organization  says the Ministry of Foreign Affairs.,http://www.adaderana.lk/news/75093/sri-lanka-informs-eu-of-ongoing-action-to-review-pta,
Department for Registration of Persons to resume services from Monday,July 2 2021��2:44 pm,The Department for Registration of Persons says that it will resume services to the public with effect from Monday (July 05)  through prior appointment basis only.,http://www.adaderana.lk/news/75092/department-for-registration-of-persons-to-resume-services-from-monday,
UAE bars citizens from travelling to 14 countries including Sri Lanka,July 2 2021��1:08 pm,In light of the current COVID situation  the United Arab Emirates (UAE) has banned its citizens from travelling to 14 countries including Sri Lanka.,http://www.adaderana.lk/news/75091/uae-bars-citizens-from-travelling-to-14-countries-including-sri-lanka,
Interim injunction against Sirasa TV extended for duration of defamation case,July 2 2021��12:00 pm,(UPDATED) The District Court of Colombo  on Friday (July 02)  extended the interim injunction against Sirasa TV - MTV Channel (Pvt) Limited - preventing the television network from defaming George Steuart Health (Pvt) Limited  for the duration of the defamation case.,http://www.adaderana.lk/news/75090/interim-injunction-against-sirasa-tv-extended-for-duration-of-defamation-case,
